,Query,Database,Length,Evalue
1418,phi04_0922.fa,11860_7_82,13872,0.0
1424,phi04_0922.fa,22984_8_3,13903,0.0
1434,phi04_0922.fa,21946_6_8,13866,0.0
1441,phi04_0922.fa,21946_6_18,13903,0.0
1445,phi04_0922.fa,21903_8_327,13903,0.0
1453,phi04_0922.fa,13414_3_18,13865,0.0
1457,phi04_0922.fa,11893_1_2,13866,0.0
1461,phi04_0922.fa,11860_4_89,13903,0.0
1473,phi04_0922.fa,7553_4_38,13866,0.0
1481,phi04_0922.fa,11860_5_17,13868,0.0
1487,phi04_0922.fa,11826_1_60,13901,0.0
1494,phi04_0922.fa,7622_5_96,13864,0.0
1498,phi04_0922.fa,7622_3_59,13864,0.0
1502,phi04_0922.fa,22841_4_69,13901,0.0
1511,phi04_0922.fa,17966_5_140,13901,0.0
1525,phi04_0922.fa,12291_4_35,13901,0.0
1528,phi04_0922.fa,12291_4_21,13901,0.0
1534,phi04_0922.fa,11511_8_22,13901,0.0
1539,phi04_0922.fa,7622_3_79,13864,0.0
1545,phi04_0922.fa,11893_1_61,13866,0.0
1550,phi04_0922.fa,11861_2_76,13903,0.0
1558,phi04_0922.fa,16288_3_72,13860,0.0
1563,phi04_0922.fa,15682_2_5,13866,0.0
1580,phi04_0922.fa,9953_7_23,13903,0.0
1592,phi04_0922.fa,22695_3_27,13903,0.0
1598,phi04_0922.fa,22695_3_21,13903,0.0
1603,phi04_0922.fa,22695_3_117,13866,0.0
1606,phi04_0922.fa,22695_3_108,13866,0.0
1611,phi04_0922.fa,21946_6_81,13866,0.0
1616,phi04_0922.fa,21946_6_327,13866,0.0
1621,phi04_0922.fa,21946_6_141,13903,0.0
1630,phi04_0922.fa,21903_8_333,13866,0.0
1635,phi04_0922.fa,12673_6_57,13903,0.0
1642,phi04_0922.fa,11860_7_79,13866,0.0
1645,phi04_0922.fa,11826_1_19,13903,0.0
1647,phi04_0922.fa,14410_8_44,13866,0.0
1652,phi04_0922.fa,10071_4_75,13903,0.0
1663,phi04_0922.fa,16288_3_79,13854,0.0
1665,phi04_0922.fa,9953_7_74,13866,0.0
1670,phi04_0922.fa,9953_7_57,13866,0.0
1691,phi04_0922.fa,11860_5_88,13903,0.0
1701,phi04_0922.fa,6841_7_22,13881,0.0
1703,phi04_0922.fa,6731_2_6,13860,0.0
1708,phi04_0922.fa,14410_6_21,13851,0.0
1713,phi04_0922.fa,7004_6_47,13882,0.0
1716,phi04_0922.fa,6949_4_10,13882,0.0
1718,phi04_0922.fa,6938_6_6,13882,0.0
1721,phi04_0922.fa,6925_7_24,13882,0.0
1738,phi04_0922.fa,6736_4_11,13882,0.0
1758,phi04_0922.fa,6673_8_1,13882,0.0
1761,phi04_0922.fa,6641_6_2,13882,0.0
1765,phi04_0922.fa,6630_4_9,13882,0.0
1773,phi04_0922.fa,14723_1_90,13876,0.0
1779,phi04_0922.fa,14723_1_83,13876,0.0
1784,phi04_0922.fa,22695_3_308,13902,0.0
1830,phi04_0922.fa,19341_3_62,13878,0.0
1835,phi04_0922.fa,19341_3_118,13878,0.0
1841,phi04_0922.fa,15531_6_71,13860,0.0
1848,phi04_0922.fa,11860_4_30,13903,0.0
1852,phi04_0922.fa,11861_3_94,13860,0.0
1857,phi04_0922.fa,19646_1_34,13842,0.0
1861,phi04_0922.fa,19183_3_34,13842,0.0
1867,phi04_0922.fa,15531_6_42,13842,0.0
1871,phi04_0922.fa,15531_6_31,13851,0.0
1873,phi04_0922.fa,15531_6_21,13842,0.0
1884,phi04_0922.fa,14410_6_52,13849,0.0
1895,phi04_0922.fa,18090_2_168,13880,0.0
1903,phi04_0922.fa,18090_2_155,13880,0.0
1911,phi04_0922.fa,11822_1_71,13868,0.0
1921,phi04_0922.fa,11657_2_49,13868,0.0
1965,phi04_0922.fa,21946_6_312,13874,0.0
1974,phi04_0922.fa,14412_2_13,13865,0.0
1984,phi04_0922.fa,11826_1_72,13879,0.0
1991,phi04_0922.fa,11822_1_70,13878,0.0
1994,phi04_0922.fa,15841_4_37,13880,0.0
1998,phi04_0922.fa,15841_3_71,13880,0.0
2001,phi04_0922.fa,15841_2_10,13880,0.0
2005,phi04_0922.fa,15841_1_91,13880,0.0
2012,phi04_0922.fa,15841_1_51,13880,0.0
2016,phi04_0922.fa,15608_3_17,13283,0.0
2018,phi04_0922.fa,12837_4_30,13882,0.0
2024,phi04_0922.fa,14673_2_37,13878,0.0
2028,phi04_0922.fa,22114_6_15,13882,0.0
2057,phi04_0922.fa,17150_4_94,13882,0.0
2077,phi04_0922.fa,17059_8_38,13882,0.0
2083,phi04_0922.fa,17059_7_74,13882,0.0
2092,phi04_0922.fa,17059_7_46,13882,0.0
2097,phi04_0922.fa,17059_6_4,13882,0.0
2106,phi04_0922.fa,15874_1_31,13882,0.0
2110,phi04_0922.fa,15874_1_1,13882,0.0
2116,phi04_0922.fa,15874_1_17,13882,0.0
2120,phi04_0922.fa,15841_5_17,13882,0.0
2124,phi04_0922.fa,15841_2_21,13882,0.0
2127,phi04_0922.fa,15731_8_29,13882,0.0
2139,phi04_0922.fa,14936_4_70,13882,0.0
2143,phi04_0922.fa,14936_4_25,13882,0.0
2147,phi04_0922.fa,14913_7_67,13882,0.0
2153,phi04_0922.fa,14913_4_80,13882,0.0
2159,phi04_0922.fa,14723_3_74,13882,0.0
2168,phi04_0922.fa,14566_4_47,13882,0.0
2179,phi04_0922.fa,14555_4_70,13882,0.0
2192,phi04_0922.fa,14412_2_94,13882,0.0
2198,phi04_0922.fa,14412_2_60,13882,0.0
2204,phi04_0922.fa,14257_1_80,13882,0.0
2214,phi04_0922.fa,14257_1_25,13882,0.0
2220,phi04_0922.fa,13470_1_34,13882,0.0
2236,phi04_0922.fa,13415_6_87,13882,0.0
2240,phi04_0922.fa,13415_4_20,13882,0.0
2244,phi04_0922.fa,13414_8_86,13882,0.0
2248,phi04_0922.fa,13414_8_34,13882,0.0
2252,phi04_0922.fa,12837_3_79,13882,0.0
2261,phi04_0922.fa,12837_2_8,13882,0.0
2265,phi04_0922.fa,12837_1_83,13882,0.0
2272,phi04_0922.fa,12291_6_95,13882,0.0
2286,phi04_0922.fa,12162_1_45,13882,0.0
2299,phi04_0922.fa,17175_7_60,13882,0.0
2303,phi04_0922.fa,17175_6_53,13882,0.0
2317,phi04_0922.fa,17150_6_35,13882,0.0
2329,phi04_0922.fa,17150_5_37,13882,0.0
2335,phi04_0922.fa,17150_5_25,13882,0.0
2341,phi04_0922.fa,17150_4_57,13882,0.0
2348,phi04_0922.fa,17138_4_88,13882,0.0
2355,phi04_0922.fa,17138_4_68,13882,0.0
2360,phi04_0922.fa,17138_4_65,13882,0.0
2366,phi04_0922.fa,17138_4_62,13882,0.0
2371,phi04_0922.fa,17138_4_56,13882,0.0
2376,phi04_0922.fa,17138_4_32,13882,0.0
2383,phi04_0922.fa,17138_4_29,13882,0.0
2395,phi04_0922.fa,17138_3_22,13882,0.0
2401,phi04_0922.fa,17059_7_80,13882,0.0
2414,phi04_0922.fa,17059_7_1,13882,0.0
2419,phi04_0922.fa,17059_6_53,13882,0.0
2424,phi04_0922.fa,15995_2_30,13882,0.0
2426,phi04_0922.fa,15995_1_4,13882,0.0
2432,phi04_0922.fa,15995_1_155,13882,0.0
2466,phi04_0922.fa,15841_5_12,13882,0.0
2478,phi04_0922.fa,15841_4_69,13882,0.0
2482,phi04_0922.fa,15841_4_64,13882,0.0
2485,phi04_0922.fa,15841_4_49,13882,0.0
2490,phi04_0922.fa,15841_4_48,13882,0.0
2499,phi04_0922.fa,15841_3_48,13882,0.0
2512,phi04_0922.fa,15841_1_27,13882,0.0
2518,phi04_0922.fa,15731_8_88,13882,0.0
2522,phi04_0922.fa,15731_8_80,13882,0.0
2526,phi04_0922.fa,14936_4_84,13882,0.0
2530,phi04_0922.fa,14936_4_51,13882,0.0
2538,phi04_0922.fa,14913_6_14,13882,0.0
2544,phi04_0922.fa,14913_4_32,13882,0.0
2553,phi04_0922.fa,14913_3_76,13882,0.0
2558,phi04_0922.fa,14913_2_49,13882,0.0
2560,phi04_0922.fa,14723_4_66,13882,0.0
2565,phi04_0922.fa,14673_1_82,13871,0.0
2573,phi04_0922.fa,14566_4_59,13882,0.0
2600,phi04_0922.fa,14410_8_12,13882,0.0
2614,phi04_0922.fa,13415_6_16,13882,0.0
2618,phi04_0922.fa,13415_5_80,13882,0.0
2623,phi04_0922.fa,13415_5_54,13882,0.0
2628,phi04_0922.fa,13415_5_10,13882,0.0
2637,phi04_0922.fa,13415_4_40,13882,0.0
2646,phi04_0922.fa,12837_2_6,13882,0.0
2654,phi04_0922.fa,12162_1_86,13882,0.0
2664,phi04_0922.fa,17150_6_59,13882,0.0
2674,phi04_0922.fa,17150_4_11,13882,0.0
2685,phi04_0922.fa,14936_4_23,13882,0.0
2689,phi04_0922.fa,14936_4_18,13882,0.0
2697,phi04_0922.fa,13415_5_74,13882,0.0
2701,phi04_0922.fa,14936_4_81,13882,0.0
2705,phi04_0922.fa,14913_6_83,13882,0.0
2709,phi04_0922.fa,14913_5_6,13882,0.0
2713,phi04_0922.fa,14913_5_50,13882,0.0
2717,phi04_0922.fa,15531_5_64,13867,0.0
2739,phi04_0922.fa,22841_4_181,13110,0.0
2745,phi04_0922.fa,22841_1_111,13110,0.0
2755,phi04_0922.fa,11861_4_18,13110,0.0
2765,phi04_0922.fa,22841_4_185,13110,0.0
2776,phi04_0922.fa,22841_2_118,13110,0.0
2790,phi04_0922.fa,22841_1_126,13110,0.0
2795,phi04_0922.fa,22667_7_177,13110,0.0
2799,phi04_0922.fa,22114_6_80,13110,0.0
2804,phi04_0922.fa,22841_4_68,13111,0.0
2815,phi04_0922.fa,14566_4_35,13883,0.0
2819,phi04_0922.fa,17794_7_8,13881,0.0
2847,phi04_0922.fa,17138_4_70,13882,0.0
2856,phi04_0922.fa,15995_2_76,13882,0.0
2860,phi04_0922.fa,15995_2_33,13882,0.0
2866,phi04_0922.fa,15995_1_176,13882,0.0
2870,phi04_0922.fa,21127_1_8,13513,0.0
2876,phi04_0922.fa,14555_3_14,13108,0.0
2892,phi04_0922.fa,17794_7_184,13871,0.0
2899,phi04_0922.fa,19646_1_33,13871,0.0
2908,phi04_0922.fa,22841_3_63,13516,0.0
2916,phi04_0922.fa,22841_3_42,13516,0.0
2925,phi04_0922.fa,22841_3_148,13516,0.0
2931,phi04_0922.fa,21127_1_46,13516,0.0
2938,phi04_0922.fa,15608_5_90,13516,0.0
2944,phi04_0922.fa,21127_1_60,13516,0.0
2950,phi04_0922.fa,19341_3_60,13516,0.0
2957,phi04_0922.fa,19341_3_46,13516,0.0
2964,phi04_0922.fa,19341_3_40,13516,0.0
2971,phi04_0922.fa,19341_3_20,13516,0.0
2978,phi04_0922.fa,15841_3_34,13883,0.0
2989,phi04_0922.fa,17175_7_76,13864,0.0
3000,phi04_0922.fa,13415_5_35,13864,0.0
3109,phi04_0922.fa,15531_7_18,13863,0.0
3116,phi04_0922.fa,16288_8_78,13111,0.0
3127,phi04_0922.fa,19084_8_81,11603,0.0
3134,phi04_0922.fa,13710_2_65,13070,0.0
3141,phi04_0922.fa,9789_2_30,11742,0.0
3154,phi04_0922.fa,15874_1_30,12321,0.0
3160,phi04_0922.fa,6714_7_15,12221,0.0
3172,phi04_0922.fa,15531_7_15,12188,0.0
3184,phi04_0922.fa,13415_7_45,12304,0.0
3364,phi04_0922.fa,22984_8_55,11760,0.0
3367,phi04_0922.fa,22695_3_140,11760,0.0
3375,phi04_0922.fa,21903_8_273,11797,0.0
3381,phi04_0922.fa,11861_1_72,11797,0.0
3390,phi04_0922.fa,12291_1_30,10898,0.0
4237,phi04_0922.fa,17138_5_65,10721,0.0
4937,phi04_0922.fa,12291_6_2,10732,0.0
4943,phi04_0922.fa,13415_5_1,10730,0.0
4955,phi04_0922.fa,21903_8_114,10724,0.0
6036,phi04_0922.fa,15841_5_31,10523,0.0
6041,phi04_0922.fa,15841_4_89,10523,0.0
6046,phi04_0922.fa,15841_3_60,10523,0.0
6055,phi04_0922.fa,14913_5_28,10523,0.0
6060,phi04_0922.fa,14913_4_16,10523,0.0
6065,phi04_0922.fa,13470_1_77,10523,0.0
6072,phi04_0922.fa,17138_3_61,10523,0.0
6082,phi04_0922.fa,15874_1_71,10523,0.0
6472,phi04_0922.fa,15841_1_49,10441,0.0
6485,phi04_0922.fa,15995_1_31,10433,0.0
6571,phi04_0922.fa,17794_8_140,10709,0.0
7082,phi04_0922.fa,15995_2_29,10352,0.0
7583,phi04_0922.fa,14410_8_46,10267,0.0
7694,phi04_0922.fa,14412_1_73,10271,0.0
7758,phi04_0922.fa,15682_2_39,10250,0.0
10051,phi04_0922.fa,14412_2_14,10213,0.0
10311,phi04_0922.fa,15841_3_15,10713,0.0
10461,phi04_0922.fa,17175_7_1,10713,0.0
10542,phi04_0922.fa,20957_7_118,10272,0.0
11040,phi04_0922.fa,14520_7_28,10712,0.0
11045,phi04_0922.fa,14520_5_71,10712,0.0
20215,phi04_0922.fa,22695_3_146,9405,0.0
22770,phi04_0922.fa,12378_2_51,8080,0.0
26232,phi04_0922.fa,15378_2_3,8083,0.0
26261,phi04_0922.fa,9789_5_85,8117,0.0
26465,phi04_0922.fa,9716_7_36,8083,0.0
26657,phi04_0922.fa,9789_2_1,8117,0.0
26785,phi04_0922.fa,17428_8_114,8083,0.0
26791,phi04_0922.fa,14520_4_71,8083,0.0
26863,phi04_0922.fa,15378_3_37,8083,0.0
26885,phi04_0922.fa,12837_5_24,8086,0.0
26974,phi04_0922.fa,12162_1_42,8120,0.0
27030,phi04_0922.fa,16453_2_37,8025,0.0
27034,phi04_0922.fa,14520_4_74,8025,0.0
27285,phi04_0922.fa,14936_5_30,8085,0.0
27565,phi04_0922.fa,12673_6_43,7472,0.0
28431,phi04_0922.fa,15995_2_57,7444,0.0
28439,phi04_0922.fa,15873_1_40,7478,0.0
28447,phi04_0922.fa,14723_4_53,7478,0.0
28454,phi04_0922.fa,14723_4_43,7444,0.0
28461,phi04_0922.fa,14723_4_1,7478,0.0
28468,phi04_0922.fa,14723_3_82,7444,0.0
28474,phi04_0922.fa,14723_3_80,7444,0.0
29268,phi04_0922.fa,11861_5_47,7399,0.0
36815,phi04_0922.fa,15995_1_62,5882,0.0
44658,phi04_0922.fa,22841_1_29,5624,0.0
82160,phi04_0922.fa,15841_4_38,1471,0.0
125828,phi065645.fa,13415_4_70,11975,0.0
125849,phi065645.fa,17059_8_12,10901,0.0
125857,phi065645.fa,17175_8_71,10899,0.0
125862,phi065645.fa,6570_1_12,10899,0.0
125867,phi065645.fa,6569_7_2,10899,0.0
125872,phi065645.fa,6512_5_10,10896,0.0
125879,phi065645.fa,6512_4_20,10896,0.0
125887,phi065645.fa,6512_2_4,10899,0.0
125892,phi065645.fa,6512_2_22,10899,0.0
125901,phi065645.fa,6486_6_10,10896,0.0
125909,phi065645.fa,6486_5_8,10899,0.0
125917,phi065645.fa,6486_5_10,10896,0.0
125925,phi065645.fa,6472_7_5,10899,0.0
125934,phi065645.fa,6472_5_16,10899,0.0
125940,phi065645.fa,6470_4_13,10899,0.0
125946,phi065645.fa,23495_7_9,10896,0.0
125952,phi065645.fa,23495_7_64,10899,0.0
125959,phi065645.fa,23495_7_61,10896,0.0
125964,phi065645.fa,23495_7_54,10899,0.0
125977,phi065645.fa,22984_8_7,10899,0.0
125983,phi065645.fa,22984_8_59,10899,0.0
125989,phi065645.fa,22984_8_50,10899,0.0
125994,phi065645.fa,22984_8_40,10899,0.0
126002,phi065645.fa,22984_8_36,10899,0.0
126010,phi065645.fa,22984_8_29,10899,0.0
126019,phi065645.fa,22709_8_315,10899,0.0
126029,phi065645.fa,22695_3_74,10896,0.0
126036,phi065645.fa,22695_3_61,10899,0.0
126043,phi065645.fa,22695_3_50,10896,0.0
126049,phi065645.fa,22695_3_35,10896,0.0
126054,phi065645.fa,22695_3_323,10899,0.0
126060,phi065645.fa,22695_3_314,10899,0.0
126065,phi065645.fa,22695_3_295,10899,0.0
126070,phi065645.fa,22695_3_274,10899,0.0
126077,phi065645.fa,22695_3_270,10896,0.0
126082,phi065645.fa,22695_3_266,10896,0.0
126087,phi065645.fa,22695_3_242,10896,0.0
126092,phi065645.fa,22695_3_234,10896,0.0
126097,phi065645.fa,22695_3_225,10899,0.0
126104,phi065645.fa,22695_3_214,10896,0.0
126113,phi065645.fa,22695_3_200,10899,0.0
126118,phi065645.fa,22695_3_182,10899,0.0
126125,phi065645.fa,21946_6_87,10899,0.0
126130,phi065645.fa,21946_6_68,10896,0.0
126137,phi065645.fa,21946_6_47,10899,0.0
126142,phi065645.fa,21946_6_356,10899,0.0
126147,phi065645.fa,21946_6_310,10899,0.0
126152,phi065645.fa,21946_6_308,10899,0.0
126160,phi065645.fa,21946_6_204,10899,0.0
126167,phi065645.fa,21946_6_153,10899,0.0
126175,phi065645.fa,21903_8_99,10899,0.0
126181,phi065645.fa,21903_8_8,10899,0.0
126188,phi065645.fa,21903_8_254,10899,0.0
126196,phi065645.fa,21903_8_229,10899,0.0
126204,phi065645.fa,21903_8_21,10899,0.0
126209,phi065645.fa,21903_8_199,10896,0.0
126214,phi065645.fa,21903_8_179,10899,0.0
126220,phi065645.fa,21903_8_174,10899,0.0
126226,phi065645.fa,21903_8_164,10899,0.0
126231,phi065645.fa,21903_8_14,10899,0.0
126236,phi065645.fa,21903_8_128,10896,0.0
126241,phi065645.fa,21903_8_119,10899,0.0
126246,phi065645.fa,17175_8_49,10897,0.0
126271,phi065645.fa,15995_2_70,10900,0.0
126280,phi065645.fa,15682_2_66,10899,0.0
126285,phi065645.fa,15277_3_66,10899,0.0
126291,phi065645.fa,14412_3_65,10899,0.0
126304,phi065645.fa,13415_8_81,10899,0.0
126322,phi065645.fa,11893_1_7,10899,0.0
126327,phi065645.fa,11893_1_62,10896,0.0
126334,phi065645.fa,11893_1_22,10896,0.0
126339,phi065645.fa,11861_4_81,10896,0.0
126344,phi065645.fa,11861_4_48,10896,0.0
126352,phi065645.fa,11861_4_34,10896,0.0
126358,phi065645.fa,11861_4_12,10896,0.0
126364,phi065645.fa,11861_3_88,10899,0.0
126369,phi065645.fa,11861_3_77,10896,0.0
126374,phi065645.fa,11861_3_67,10899,0.0
126379,phi065645.fa,11861_2_89,10896,0.0
126385,phi065645.fa,11861_1_74,10896,0.0
