prophage,length,regulator
6925_2_89.fa_2155,56,Peptidase_S24
7622_5_84.fa_2160,8,None
7622_5_84.fa_2161,24,None
7001_3_1.fa_2173,50,Peptidase_S24
6999_4_18.fa_2171,59,DUF955
7553_4_31.fa_2213,8,None
7553_4_31.fa_2588,76,Peptidase_S24
6925_1_51.fa_2238,61,DUF955
7622_5_64.fa_2221,41,DUF955
7622_5_64.fa_2224,6,None
7622_5_64.fa_2589,44,DUF955
7622_5_64.fa_2590,8,None
7001_1_9.fa_2252,42,DUF955
7001_1_9.fa_2253,3,None
7001_1_9.fa_2254,11,None
7001_1_9.fa_2591,53,Peptidase_S24
6952_4_15.fa_2257,59,DUF955
7622_4_8.fa_2275,36,Peptidase_S24
7622_4_8.fa_2323,8,None
7622_5_65.fa_2,50,DUF955
7553_5_86.fa_11,54,DUF955
6999_5_9.fa_14,8,None
6999_5_9.fa_15,24,None
7553_4_15.fa_20,60,DUF955
7553_4_14.fa_23,42,DUF955
7553_4_14.fa_25,10,None
7553_4_14.fa_30,3,None
7553_4_14.fa_2327,52,Peptidase_S24
7622_3_53.fa_40,24,None
7622_3_53.fa_2329,56,Peptidase_S24
7622_3_53.fa_2330,8,DUF955
6930_8_7.fa_49,44,Peptidase_S24
7622_2_9.fa_60,11,None
7622_2_9.fa_2331,38,Peptidase_S24
7622_2_37.fa_104,57,DUF955
7622_2_6.fa_112,50,Peptidase_S24
7622_2_6.fa_113,9,None
7622_5_91.fa_117,55,DUF955
7553_4_28.fa_119,43,DUF955
6952_7_15.fa_130,48,DUF955
6952_7_15.fa_2339,8,None
6925_1_63.fa_137,52,DUF955
7622_5_62.fa_151,11,None
7622_5_62.fa_153,6,None
7622_5_62.fa_155,3,None
7622_5_62.fa_158,3,None
7622_5_62.fa_2340,30,DUF955
7622_5_62.fa_2341,28,Peptidase_S24
6930_8_16.fa_166,10,None
6930_8_16.fa_167,42,DUF955
6930_8_16.fa_2342,52,Peptidase_S24
7622_3_72.fa_170,24,None
7622_3_72.fa_171,8,None
6952_4_14.fa_2345,43,Peptidase_S24
6999_1_21.fa_204,48,DUF955
6999_1_21.fa_205,50,Peptidase_S24
7622_3_50.fa_207,46,Peptidase_S24
6999_3_17.fa_211,48,DUF955
6999_3_17.fa_2352,54,DUF955
7622_2_14.fa_2357,57,Peptidase_S24
6999_3_16.fa_2359,43,Peptidase_S24
6999_6_20.fa_261,55,DUF955
6930_8_6.fa_263,50,DUF955
6930_8_6.fa_264,24,None
6930_8_6.fa_268,8,None
6925_1_58.fa_301,61,DUF955
6999_3_1.fa_319,3,None
6999_3_1.fa_2363,39,DUF955
6999_3_1.fa_2364,53,Peptidase_S24
6952_4_23.fa_330,49,DUF955
6952_4_23.fa_333,8,None
6999_3_3.fa_341,45,DUF955
7622_5_76.fa_365,6,None
7622_5_76.fa_366,4,None
7622_5_76.fa_367,23,DUF955
7622_5_76.fa_368,26,None
7622_5_76.fa_369,11,None
7622_5_76.fa_372,3,None
7622_5_76.fa_373,3,None
7622_5_76.fa_374,9,None
7622_5_76.fa_375,6,None
7622_5_76.fa_376,4,None
7622_5_76.fa_377,3,None
7622_5_76.fa_378,3,None
7622_5_76.fa_379,3,None
7622_5_76.fa_380,4,None
7622_5_76.fa_382,17,Peptidase_S24
7622_5_76.fa_2373,25,DUF955
7622_5_96.fa_411,60,Peptidase_S24
6999_6_6.fa_456,65,DUF955
7553_4_4.fa_460,48,DUF955
7553_4_4.fa_462,9,None
7622_3_78.fa_500,59,DUF955
6999_5_4.fa_513,8,None
6999_5_4.fa_514,45,Peptidase_S24
6999_5_4.fa_515,24,None
6952_7_6.fa_520,8,None
6952_7_6.fa_523,24,None
7001_2_3.fa_549,7,None
7001_2_3.fa_551,49,DUF955
7001_2_3.fa_2386,49,DUF955
6999_2_16.fa_593,60,DUF955
7553_5_64.fa_586,8,None
7553_5_64.fa_2391,35,Peptidase_S24
7622_5_82.fa_579,17,DUF955
7622_5_82.fa_582,5,None
7622_5_82.fa_583,26,None
7622_5_82.fa_584,5,None
7622_5_82.fa_585,23,None
7622_5_82.fa_2390,26,Peptidase_S24
7553_4_44.fa_596,8,None
7553_4_44.fa_598,24,None
7553_4_44.fa_601,12,None
7553_4_44.fa_602,41,DUF955
7622_3_84.fa_603,55,DUF955
7622_3_84.fa_604,49,DUF955
6925_1_49.fa_618,57,DUF955
6952_4_10.fa_625,61,DUF955
7622_5_93.fa_636,52,DUF955
7553_6_2.fa_2296,43,Peptidase_S24
6952_7_19.fa_649,9,None
6952_7_19.fa_650,47,DUF955
6925_2_93.fa_660,61,DUF955
7622_4_47.fa_686,56,DUF955
7622_4_47.fa_2403,54,Peptidase_S24
7622_2_10.fa_2405,59,DUF955
6925_1_66.fa_2407,57,Peptidase_S24
7622_4_10.fa_761,61,DUF955
6999_6_22.fa_778,3,None
6999_6_22.fa_779,45,DUF955
6999_6_22.fa_2417,48,DUF955
6999_6_17.fa_783,46,DUF955
6999_6_17.fa_2418,10,None
6930_8_13.fa_796,8,None
6930_8_13.fa_2420,47,Peptidase_S24
6999_6_19.fa_799,43,DUF955
6999_6_19.fa_801,9,None
7622_4_24.fa_805,6,None
7622_4_24.fa_808,3,None
7622_4_24.fa_809,3,None
7622_4_24.fa_810,9,None
7622_4_24.fa_811,3,None
7622_4_24.fa_813,3,None
7622_4_24.fa_814,4,None
7622_4_24.fa_816,6,None
7622_4_24.fa_817,28,None
7622_4_24.fa_819,12,None
7622_4_24.fa_821,23,DUF955
7622_4_24.fa_2423,26,DUF955
7622_4_24.fa_2424,14,Peptidase_S24
7622_2_41.fa_826,45,Peptidase_S24
6925_1_54.fa_834,60,DUF955
7622_4_18.fa_2429,58,Peptidase_S24
7622_4_22.fa_865,25,None
7622_4_22.fa_866,22,DUF955
7622_4_22.fa_2434,8,None
7622_4_22.fa_2435,54,DUF955
6999_7_16.fa_880,55,Peptidase_S24
6999_7_16.fa_883,24,None
6999_7_16.fa_884,8,None
7001_1_13.fa_885,24,None
7001_1_13.fa_888,8,None
7001_1_13.fa_2438,48,DUF955
6999_6_11.fa_916,58,DUF955
6999_7_21.fa_902,63,DUF955
6999_5_2.fa_921,37,Peptidase_S24
6999_5_2.fa_2304,9,None
7553_4_7.fa_932,8,None
6999_6_21.fa_969,53,DUF955
7553_5_56.fa_982,20,None
7553_5_56.fa_983,5,None
7553_5_56.fa_984,53,None
7553_5_56.fa_987,8,None
7622_5_92.fa_992,40,DUF955
7622_5_92.fa_995,10,None
6999_7_4.fa_1015,3,None
6999_7_4.fa_1017,9,None
6999_7_4.fa_1018,44,DUF955
6999_7_4.fa_1020,50,Peptidase_S24
6999_4_4.fa_1031,19,None
6999_4_4.fa_1037,41,DUF955
6999_4_4.fa_1038,8,None
6999_4_4.fa_2453,37,Peptidase_S24
7622_3_96.fa_1046,26,None
7622_3_96.fa_1048,7,None
7622_3_96.fa_2454,26,DUF955
7622_3_96.fa_2455,53,Peptidase_S24
7622_3_96.fa_2456,50,DUF955
7553_4_40.fa_1058,27,None
7553_4_40.fa_1059,3,None
7553_4_40.fa_1061,3,None
7553_4_40.fa_2458,25,DUF955
7553_4_40.fa_2459,39,Peptidase_S24
6925_1_57.fa_1072,6,None
6925_1_57.fa_1076,27,None
6925_1_57.fa_1077,24,None
6925_1_57.fa_2461,24,DUF955
6925_1_57.fa_2462,16,Peptidase_S24
6952_7_7.fa_2466,44,Peptidase_S24
7622_2_19.fa_1111,48,DUF955
7622_2_19.fa_1114,3,None
7622_2_19.fa_2468,53,Peptidase_S24
7622_2_8.fa_1153,48,Peptidase_S24
7622_2_8.fa_1154,9,None
6999_7_18.fa_1159,51,DUF955
7553_5_54.fa_1162,3,None
7553_5_54.fa_1163,3,None
7553_5_54.fa_1165,10,None
7553_5_54.fa_1166,25,None
7553_5_54.fa_1167,44,DUF955
6999_7_15.fa_1190,61,DUF955
7553_4_10.fa_2474,49,Peptidase_S24
7622_4_16.fa_2476,58,Peptidase_S24
7553_5_95.fa_1239,9,None
7622_5_51.fa_1243,61,DUF955
7622_5_51.fa_1244,4,None
7622_5_51.fa_1247,36,Peptidase_S24
6999_5_20.fa_1260,8,None
6999_5_20.fa_2483,36,Peptidase_S24
7622_5_87.fa_1256,38,DUF955
7622_5_87.fa_2482,8,None
6952_4_8.fa_1306,57,Peptidase_S24
6999_6_8.fa_1310,58,Peptidase_S24
7553_6_1.fa_1312,54,DUF955
7553_6_1.fa_2314,3,None
7553_4_3.fa_2491,54,DUF955
7001_2_11.fa_2495,57,Peptidase_S24
6999_6_3.fa_1366,9,None
6999_6_3.fa_1368,36,Peptidase_S24
7622_3_82.fa_1475,40,DUF955
7622_3_82.fa_1480,10,None
7622_5_60.fa_1489,41,DUF955
7622_5_60.fa_1490,9,None
6952_7_4.fa_1501,50,Peptidase_S24
7622_2_42.fa_1538,58,Peptidase_S24
6952_4_3.fa_1531,58,Peptidase_S24
7622_3_76.fa_1540,10,None
7622_3_76.fa_1544,42,DUF955
7622_3_76.fa_2512,52,Peptidase_S24
6925_1_68.fa_2513,51,DUF955
6999_4_19.fa_1577,59,DUF955
6999_5_6.fa_1584,39,DUF955
6999_5_6.fa_1587,10,None
6952_7_5.fa_1593,61,DUF955
6999_5_15.fa_1605,50,DUF955
7622_4_36.fa_1610,24,None
7622_4_36.fa_1611,8,None
7553_4_37.fa_1633,9,None
7553_4_37.fa_1635,43,DUF955
7622_4_17.fa_2521,53,Peptidase_S24
6999_1_11.fa_1647,46,Peptidase_S24
6999_3_2.fa_1660,33,DUF955
6999_3_2.fa_1664,7,None
6999_3_2.fa_2522,55,Peptidase_S24
7622_4_20.fa_1670,56,DUF955
7622_4_39.fa_1682,44,Peptidase_S24
7622_4_39.fa_1684,8,None
6999_5_8.fa_2525,47,DUF955
6999_2_2.fa_1710,8,None
6999_2_2.fa_1711,42,DUF955
7001_1_11.fa_1722,63,DUF955
7622_3_60.fa_1732,44,DUF955
7622_3_60.fa_1733,8,None
6925_2_78.fa_1772,55,DUF955
6925_2_78.fa_1773,6,None
6925_2_78.fa_2534,52,DUF955
7001_2_14.fa_2536,42,Peptidase_S24
7622_2_26.fa_1783,57,Peptidase_S24
7622_2_21.fa_1791,51,DUF955
7622_2_21.fa_2538,53,Peptidase_S24
6952_4_4.fa_2543,57,Peptidase_S24
6999_1_4.fa_1856,8,None
6999_1_4.fa_1857,24,None
7553_4_11.fa_1875,28,None
7553_4_11.fa_1877,3,None
7553_4_11.fa_2548,55,Peptidase_S24
6999_1_12.fa_2555,50,DUF955
6925_1_71.fa_1949,7,None
6925_1_71.fa_2558,48,DUF955
7001_3_3.fa_1954,48,Peptidase_S24
7001_3_3.fa_1956,9,None
7553_4_13.fa_2007,8,None
7553_4_13.fa_2008,50,DUF955
6999_1_5.fa_2027,6,None
6999_1_5.fa_2571,47,DUF955
6930_8_18.fa_2030,46,DUF955
7622_2_4.fa_2039,57,Peptidase_S24
6999_1_6.fa_2047,7,None
6999_1_6.fa_2050,24,None
7622_2_1.fa_2056,7,None
7622_2_1.fa_2057,36,Peptidase_S24
6999_7_12.fa_2069,48,DUF955
6999_3_20.fa_2074,48,DUF955
7622_2_2.fa_2093,51,DUF955
7622_2_2.fa_2094,3,None
7622_2_2.fa_2577,54,DUF955
6999_7_20.fa_2118,41,DUF955
6999_2_9.fa_2128,48,DUF955
6999_2_9.fa_2131,7,None
7622_3_68.fa_2139,54,None
6999_7_6.fa_2166,48,DUF955
7622_3_81.fa_2585,54,DUF955
6999_6_16.fa_2191,5,None
6999_6_16.fa_2192,47,DUF955
6999_6_16.fa_2586,57,Peptidase_S24
7622_2_28.fa_2201,36,Peptidase_S24
7622_2_28.fa_2202,9,None
7622_4_5.fa_2215,57,DUF955
6925_2_83.fa_2217,47,DUF955
6925_2_83.fa_2218,9,None
7622_4_27.fa_2244,36,Peptidase_S24
7622_4_27.fa_2245,8,None
7622_5_67.fa_2256,43,Peptidase_S24
6999_4_16.fa_2269,8,None
6999_4_16.fa_2271,24,None
6999_3_7.fa_2276,28,None
6999_3_7.fa_2278,54,Peptidase_S24
6999_3_7.fa_2598,23,DUF955
6925_2_88.fa_2281,3,None
6925_2_88.fa_2283,11,None
6925_2_88.fa_2596,51,Peptidase_S24
6925_2_88.fa_2597,38,Peptidase_S24
